date,value
2024-01-01,53.97371322408986
2024-01-02,68.61799912695403
2024-01-03,79.91135905859667
2024-01-04,73.56631175307147
2024-01-05,37.99298542276545
2024-01-06,24.64533891297482
2024-01-07,44.15787431009501
2024-01-08,57.387763155582654
2024-01-09,67.2166037712033
2024-01-10,80.31861642483825
2024-01-11,58.92301668166697
2024-01-12,37.38865971434952
2024-01-13,29.702418063455937
2024-01-14,17.466215151132918
2024-01-15,38.697227984614514
2024-01-16,67.7223839471145
2024-01-17,69.12377243583454
2024-01-18,66.39262220728823
2024-01-19,35.098590461101246
2024-01-20,17.716575602604728
2024-01-21,45.74593258212709
2024-01-22,51.93864556318588
2024-01-23,74.00919514090504
2024-01-24,67.07672123116168
2024-01-25,60.77186707268401
2024-01-26,44.49844910530927
2024-01-27,21.05534191626802
2024-01-28,38.27461189987943
2024-01-29,50.18803177008713
2024-01-30,72.38370482741487
2024-01-31,74.90933914539357
2024-02-01,81.19343966731638
2024-02-02,44.75137591208627
2024-02-03,23.049888426358653
2024-02-04,43.097672372299016
2024-02-05,46.474677412028775
2024-02-06,77.63644890815853
2024-02-07,65.29391637454992
2024-02-08,56.99801112241684
2024-02-09,47.68252891930213
2024-02-10,38.66759382032854
2024-02-11,39.13654464735261
2024-02-12,56.56452567505042
2024-02-13,74.80499590576557
2024-02-14,70.39138676500814
2024-02-15,63.11303116880601
2024-02-16,43.670814187030246
2024-02-17,42.46512431247598
2024-02-18,41.76283003673993
2024-02-19,44.633676013613865
2024-02-20,81.05478254799763
2024-02-21,80.38718976697638
2024-02-22,64.70469415587526
2024-02-23,53.49761998779489
2024-02-24,43.50442800505166
2024-02-25,47.71240999548121
2024-02-26,53.27254239309402
2024-02-27,77.23669710838894
2024-02-28,87.36624078389482
2024-02-29,79.17271649766136
2024-03-01,46.01910109666519
2024-03-02,35.019445334132904
2024-03-03,32.659774572862794
2024-03-04,51.66491490858915
2024-03-05,87.45888801671164
2024-03-06,96.8143388835923
2024-03-07,72.04055983039922
2024-03-08,59.12904350492295
2024-03-09,40.64609067018388
2024-03-10,37.59778165042941
2024-03-11,65.37401806766121
2024-03-12,94.51125929164519
2024-03-13,86.9260956645055
2024-03-14,86.3820753719135
2024-03-15,31.391104811428196
2024-03-16,45.57650782716408
2024-03-17,44.70340155553518
2024-03-18,61.33907974222654
2024-03-19,84.18933829456086
2024-03-20,72.56043798293733
2024-03-21,73.3558363450606
2024-03-22,56.454251538599685
2024-03-23,52.07272547245378
2024-03-24,41.10914858580013
2024-03-25,58.51147504516718
2024-03-26,80.68948105596004
2024-03-27,97.03249156372051
2024-03-28,78.99150564739773
2024-03-29,50.60755465872896
2024-03-30,45.60399790178785
2024-03-31,47.28021604913291
2024-04-01,73.97686911493501
2024-04-02,80.3353979759768
2024-04-03,88.3362627716812
2024-04-04,74.47291686742223
2024-04-05,44.385802026167255
